0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2017 年 3 月
推出日期,約 2017 年 4 月
不同版本,4GB / 64GB $57986GB / 128GB $6398
網絡系統,"4G FDD LTE：B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(800), B28(700), B29(700) 4G TDD LTE：B38(2600), B39(1900), B40(2300), B41(2500) WCDMA：BC0(800) 3G TD-SCDMA：B34(2010), B39(1880) WCDMA：B1(2100), B2(1900), B5(850), B8(900) 3G CDMA：BC0(800) 2G GSM：GSM850, GSM900, DCS1800, PCS1900 2G CDMA：CDMA800"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 835 CPU
圖像處理器,Adreno 540
操作系統及版本,Android 7.0
機身顏色,星夜黑、幻紫灰、極地銀、珊瑚藍及楓木金
尺寸,159.5 x 73.4 x 8.1 mm
重量,173 gram
操控,輕觸式
電池種類,3500 mAh
可更換電池,不支援
通話時間,3G 最長可達 13 小時
備用時間,3G 最長可達 10 天
RAM 容量,4GB / 6GB RAM
ROM 容量,64GB / 128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.2 吋
螢幕類別,AMOLED
螢幕解像度,2960 x 1440
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙 LED
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DSF, DFF"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth® v 5.0 (LE版本高達2Mbps)
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac (2.4/5GH
gps 功能,GPS、AGPS、GLONASS
電腦連線,USB Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援IP68 防水、虹膜識別功能及面部識別功能
