0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2022 年 2 月
推出日期,約 2022 年 2 月
網絡系統,-
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,One UI 4.0
中央處理器,Snapdragon 8 Gen 1
圖像處理器,Adreno 730 GPU
操作系統及版本,Android 12
機身顏色,黑、白、綠、酒紅
尺寸,77.9 x 163.3 x 8.9 mm
重量,229 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB/12GB RAM
ROM 容量,128GB / 256GB / 512GB/1TB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.8 吋
螢幕類別,Dynamic AMOLED 2x Infinity-O
螢幕解像度,3080 X 1440
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 1 億像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,100X
視像鏡頭,4000 萬像素
閃光燈,支援
短片拍攝,MP4
短片解像度,8K (24fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/ax/6e
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68 防水、45W 快速充電、15W 無線快速充電、UWB
