0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2012 年 5 月
推出日期,約 2012 年 5 月
價格,"約 HK$1,980更新日期：2015-09-01"
網絡系統,3G UMTS：850/900/1900/2100MHz 2G GSM：850/900/1800/1900MHz
操作系統,Android
中央處理器,4 核 1.4 GHz
圖像處理器,Mali-400MP4
操作系統及版本,Android 4.0
機身顏色,圓石藍，雲石白、紅
尺寸,136.6 x 70.6 x 8.6 mm
重量,133 gram
操控,輕觸式
電池種類,2100 mAh
可更換電池,支援
通話時間,"高達 21小時 (2G), 11小時 (3G)"
備用時間,"高達 900小時 (2G), 790小時 (3G)"
RAM 容量,1GB
ROM 容量,16GB
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.8 吋
螢幕類別,Super AMOLED HD
螢幕解像度,720p
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,190 萬像
閃光燈,支援
相機功能,白平衡: 自動、白天、 陰天、日熾燈及日光燈 場景模式: 人像、 風景、夜間、體育、派對/室內、海灘/雪景、日落、日出、秋色、煙花、文字、燭光、背光 拍攝模式: 單張拍攝、連
短片拍攝,1080p@30fps
短片解像度,1920 x 1080p
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,H.263 / H.264 / MPEG4 / WMV / AVI / DivX / Xvid
收音機,不支援
串流播放格式,支援
聲控功能,S-voice
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS / GLONASS全球定位系統 (支援 A-GPS
電腦連線,USB 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/GT-I9300RWATGY-spec
