0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2015 年 1 月
推出日期,約 2015 年 3 月
網絡系統,4G：TDD-LTE(B38 / B39 / B40 / B41: 2555-2655MHz) 3G：TD-SCDMA(B34 / B39) 2G：GSM(B2 / B3 / B8)
操作系統,Android
操作介面,MIUI 6 系统
中央處理器,四核 1.5 GHz CPU
圖像處理器,Mali T628
操作系統及版本,Android 4.4
機身顏色,深灰、白、黃、綠及粉紅色
尺寸,134 X 67.2 X 9.4 mm
重量,132 gram
操控,輕觸式
電池種類,2200 mah
可更換電池,支援
通話時間,3G 最長可達 12.5 小時
備用時間,3G 最長可達 230 小時
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,130 萬素
閃光燈,LED 閃光燈
相機功能,F2.2 大光圈 可選 ISO 感光模式、白平衡、對焦方式、對焦區域、支援自動對焦、拍攝場景 28mm 廣角 每秒 8 張連拍 零快門延遲 人臉辨識 HDR 實時濾鏡
短片拍攝,mp4
短片解像度,1920 x 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、aac、aac+、eaac+、amr、wb-amr、midi、ogg
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 v3.0+HS
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,支援
電腦連線,usb 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
