0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2013 年 12 月
推出日期,約 2013 年 12 月
價格,約 HK$799更新日期：2015-09-01
網絡系統,3G WCDMA 900/2100 GSM 850/900/1800/1900
操作系統,Android
中央處理器,MTK MT6589T 四核 1.5 GHz
圖像處理器,PowerVR SGX544MP2
操作系統及版本,Android 4.2.2
機身顏色,紅、黑、白
尺寸,137 X 69 X 9.9 mm
重量,158 gram
操控,輕觸式
電池種類,2000 mah
可更換電池,不詳
通話時間,約 12 小時
備用時間,約 250 小時
RAM 容量,1GB RAM
ROM 容量,4GB ROM
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,130 萬素
閃光燈,LED 閃光燈
相機功能,F2.2 大光圈 可選 ISO 感光模式、白平衡、對焦方式、對焦區域、支援自動對焦、拍攝場景 28mm 廣角 每秒 8 張連拍 零快門延遲 人臉辨識 HDR 實時濾鏡
短片拍攝,mp4
短片解像度,1920 x 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、aac、aac+、eaac+、amr、wb-amr、midi、ogg
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 v3.0+HS
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,A-GPS
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://hk.xiaomi.com/hongmi
