0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,-
推出日期,-
價格,"約 HK$2,580更新日期：2009-03-04"
網絡系統,GSM 850 / GSM 900 / GSM 900 / GSM 1800 / GSM 1900
中央處理器,ARM 11 (500MHz) 處理器
操作系統及版本,Linux
機身顏色,金色 (蛇皮紋雕花後蓋)
尺寸,103 x 53 x 11.9 mm
重量,117 gram
電池種類,鋰電池 (950 mAh)
可更換電池,不詳
通話時間,450 分鐘
備用時間,300 小時
RAM 容量,2GB
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,8X
視像鏡頭,-
閃光燈,不支援
短片拍攝,影片拍攝影片播放
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、WMA
短片播放格式,MPEG4、3GP
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、藍芽
紅外線支援,不支援
流動數據,EDGE、GPRS
wifi 功能,不支援
gps 功能,不支援
電腦連線,USB 2.0
視頻輸出,-
