0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2013 年 8 月
推出日期,約 2014 年 2 月
價格,"約 HK$3,698更新日期：2014-04-17"
網絡系統,LTE/HSDPA 850 / 900 / 1900 / 2100 GSM 850 / 900 / 1800 / 1900
操作系統,Android
操作介面,Motorola X8 Mobile
中央處理器,Qualcomm Snapdragon S4 Pro 雙核 1.7 GHz CPU
圖像處理器,Adreno 320 GPU
操作系統及版本,Android 4.2
機身顏色,黑、白
尺寸,129.4 x 65.3 x 10.4 mm
重量,130 gram
操控,輕觸式
電池種類,2200 mah
可更換電池,不詳
通話時間,最長可達 24 小時
備用時間,-
RAM 容量,2GB RAM
ROM 容量,16GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1000 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,200 萬素
閃光燈,LED
短片拍攝,mp4
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、aac、aac+、eaac+、amr、wb-amr、midi、ogg
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v4.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,支援
電腦連線,usb 2.0
視頻輸出,-
