0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2019 年 6 月
推出日期,約 2019 年 6 月
價格,"約 HK$3,398更新日期：2019-06-18"
網絡系統,"2G/2.5G - GSM/GPRS/EDGE 850/900/1800/1900 MHz 3G UMTS 850/900/1900/2100 (B1/B2/B5/B8), HSDPA 42, HSUPA 5.76 4G LTE FDD: Bands 1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 66 TDD: Bands 38, 40 支援 DL Cat.11 600 Mbps、UL Cat.5 75Mbps"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 710
操作系統及版本,Android 8.1
機身顏色,紫
尺寸,156.5 x 75.9 x 8.0 mm
重量,180 gram
操控,輕觸式
電池種類,3930 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,AMOLED
螢幕解像度,2160 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2400 萬 + 200 萬像素
閃光燈,LED 閃光燈
相機功能,相位偵側自動對焦 雙 LED 補光燈 f/1.8 光圈+ f/2.6光圈 計時器最長10秒 AI 人工智慧強化相機 臉部偵測 自動 HDR 即時人像美肌模式 全景模式 慢動作模式 Pro 手動模式 4K 影片錄製 影像照片 (同時錄製並拍攝相片) AR 貼圖
短片拍攝,MP4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,".3gpp, .m4a, .aac, .flac, .mp3, .mid, .ogg, .mkv, .wav, .amr"
短片播放格式,".3gp, .mp4, .ts, .webm, .mkv"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac (2.4 與 5 GHz)
gps 功能,內建 GPS 天線，支援 GLONASS
電腦連線,USB-C 3.1 含 DisplayPort
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
