0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,-
推出日期,-
價格,"約 HK$4,680更新日期：2009-03-04"
網絡系統,HSDPA / UTMS / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Qualcomm MSM 7200 400MHz
操作系統及版本,Windows Mobile 6 Professional
機身顏色,黑色
尺寸,107 x 55 x 15.8 mm
重量,120 gram
電池種類,鋰電池 (1120 mAh)
可更換電池,不詳
通話時間,300 分鐘
備用時間,250 小時
RAM 容量,RAM: 128MB / ROM: 256MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,2GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.6 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,10 萬像素鏡頭
閃光燈,不支援
短片拍攝,影片拍攝 (MPEG4，3GP)
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、eAAC+、WAV、WMA
短片播放格式,3GP、MPEG4、WMV
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、AVRCP、藍芽 v2.0
紅外線支援,不支援
流動數據,UMTS、EDGE、GPRS
wifi 功能,不支援
gps 功能,不支援
電腦連線,USB 2.0
視頻輸出,-
