0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,-
推出日期,-
網絡系統,CDMA 800 / 1900 / 2000
操作系統,Windows Phone
中央處理器,Qualcomm Snapdragon QSD8250 1GHz
操作系統及版本,Microsoft Windows Phone 7
機身顏色,黑色
尺寸,117.5 x 59 x 15.5 mm
重量,184 gram
操控,輕觸式、全 QWERTY 鍵盤
電池種類,鋰電池 (1500mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,16GB / 576MB RAM、512MB ROM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.6 吋
螢幕類別,TFT
螢幕解像度,480 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,720p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,-
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,-
流動數據,-
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,-
