0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2013 年 4 月
推出日期,約 2013 年 4 月
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,1 GHz
操作系統及版本,Android 4.1
機身顏色,黑色、紅、白
尺寸,118.5 x 62.3 x 9.3 mm
重量,114 gram
操控,輕觸式
電池種類,鋰電池 (1600 mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,RAM: 512MB / 4GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32 GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,TFT
螢幕解像度,480 x 800
螢幕備註,HTC Sense UI
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,500 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、WAV、WMA9
短片播放格式,MPEG4、H.263、H.264、WMV9
收音機,RDS FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,miniUSB
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.htc.com/tw/smartphones/htc-desire-q/#specs
