0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2014 年 10 月
推出日期,約 2014 年 10 月
價格,"約 HK$2,380更新日期：2015-11-30"
網絡系統,2G/2.5G - GSM/GPRS/EDGE：850/900/1800/1900 MHz 3G - WCDMA：850/1900/2100，使用 HSPA+，最高傳輸速度可達 42 Mbps TD-SCDMA：1900/2100MHz 4G - LTE：FDD LTE band: 3/7; TD-LTE band: 38/39/40/41
操作系統,Android
操作介面,HTC Sense 6.0
中央處理器,64-bit Qualcomm Snapdragon 615 CPU
圖像處理器,Adreno 405
操作系統及版本,Android 4.4.2
機身顏色,藍、白
尺寸,158 x 77.5 x 8 mm
重量,183 gram
操控,迴轉儀、加速度感測器、接近感測器、環境光線感測器
電池種類,2600 mAh
可更換電池,不支援
通話時間,最長 20 小時
備用時間,最長 538 小時
RAM 容量,2GB RAM
ROM 容量,16 GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,SLCD 3
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,400 萬像素 Ultra Pi
閃光燈,雙色 LED
短片拍攝,mp4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,aac、.amr、.ogg、.m4a、.mid、.mp3、.wav、.wma (Windows Media Audio 9)
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0 aptX
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/ac/b/g/n
gps 功能,支援
電腦連線,micro-USB 2.0
視頻輸出,DLNA、 MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援中港 4G 頻譜、雙咭雙待功能
